"","variable","label","type","has_value_labels","value_labels","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","scale_type","notes"
"23","Q16.9","Asistio a una feria, fiesta popular o festividad religiosa","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"24","Q16.10","Asistio a un museo, galeria o casa de cultura","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"25","Q16.11","Vio un espectaculo de teatro o danza (artes escenicas)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"26","Q16.12","Visito una zona historica o arqueologica, monumentos","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"27","Q16.13","Asistio a conferencias, conservatorios, coloquios","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"28","Q16.14","Asistio o participo en un evento deportivo","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"29","Q16.15","Realizo ejercicio o actividad fisica (Gym, correr, bicibleta, caminar, etc.)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"30","Q17.1","IMSS","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"31","Q17.2","ISSSTE","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"32","Q17.3","Instituto de Salud de Bienestar","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"33","Q17.4","Médicos de farmacias/genéricos","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"34","Q17.5","Servicio médico privado/particulares","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"35","Q17.6","No tiene servicio médico","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"36","Q17.7","Otro (especifique cuál):","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"37","Q17.7.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"38","Q17.8","MEDICHIHUAHUA","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"39","Q18","Aunque ya menciono cual servicio medico tiene, Cual es el que USA? (Al que MAS acude/usa cuando se enferma)","Escala 1-8",TRUE,"1=IMSS;2=ISSSTE;3=Instituto de Salud de Bienestar;4=Médicos de farmacias/genéricos;5=Servicio médico privado/particulares;6=No usa ningún tipo de servicio médico;7=Otro (especifique cuál):;8=Medichihuahua","","IMSS","ISSSTE","Instituto de Salud de Bienestar","Médicos de farmacias/genéricos","Servicio médico privado/particulares","No usa ningún tipo de servicio médico","Otro (especifique cuál):","Medichihuahua","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"40","Q18.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"41","Q19","En una escala del 1 al 10, Que tan satisfecho/a esta en GENERAL con los servicios de salud que recibe del servicio medico que mas USA?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"42","Q20","En escala del 1 al 10, Que tan satisfecho esta con las INSTALACIONES del servicio medico que usa?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"43","Q21","En escala del 1 al 10, Que tan satisfecho está con el TIEMPO QUE TARDA EN SER ATENDIDO del servicio medico que usa?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"44","Q22","En escala del 1 al 10, Que tan satisfecho está con la DISPONIBILIDAD DE MEDICINAS del servicio medico que usa?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"45","Q23","En escala del 1 al 10, Que tan satisfecho está con la ATENCIÓN RECIBIDA del servicio médico que usa?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"46","Q24","En escala del 1 al 10, Que tan satisfecho está con la CERCANIA CON LOS CENTROS DE SALUD del servicio médico que usa?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"47","Q25","En una escala del 1 al 10, Que tan satisfecho esta con LA CASA EN LA QUE VIVE?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC;13= ","","1","2","3","4","5","6","7","8","9","10","NS/NC",""," ","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"48","Q26","En una escala del 1 al 10, Que tan satisfecho esta con LA CALIDAD DE LOS MATERIALES DE LA VIVIENDA?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"49","Q27","En una escala del 1 al 10, Qué tan satisfecho está con EL TAMAÑO Y ESPACIOS DE LA VIVIENDA?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"50","Q28","En una escala del 1 al 10, que tan satisfecho está con LA ACCESIBILIDAD DE LA UBICACIÓN DE SU VIVIENDA? (Cercanía con centros comerciales, trabajo, escuelas, avenidas principales, etc.)","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"51","Q29","En una escala del 1 al 10, Que tan satisfecho esta con el SERVICIO DEL AGUA?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=No tiene","","1","2","3","4","5","6","7","8","9","10","No tiene","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"52","Q30","En una escala del 1 al 10, que tan satisfecho está con el SERVICIO DE DRENAJE Y ALCANTARILLADO?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=No tiene","","1","2","3","4","5","6","7","8","9","10","No tiene","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"53","Q31","Cuantos dias a la semana tiene suministro de agua?","Escala 0-7",TRUE,"0=0;1=1;2=2;3=3;4=4;5=5;6=6;7=7","0","1","2","3","4","5","6","7","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon",NA
"54","Q32","Durante este año Interpuso algun reporte relacionado al servicio de agua potable, drenaje o alcantarillado ante la autoridad correspondiente?","Escala 0-3",TRUE,"1=SI;2=NO;3=no sabe",NA,"SI","NO","no sabe","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"55","Q33","El problema fue atendido por la dependencia?","Escala 0-2",TRUE,"1=SI;2=NO",NA,"SI","NO","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"56","Q34","En una escala del 1 al 10, Que tan satisfecho esta con la solución del problema del agua, drenaje o alcantarillado?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"57","Q35","En una escala del 1 al 10, Que tan satisfecho esta con el SERVICIO DE Comision Federal de Electricidad (CFE)?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=No tiene","","1","2","3","4","5","6","7","8","9","10","No tiene","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"58","Q36","En el ultimo mes qué tan frecuentemente se fue la luz en su casa?","Escala 0-5",TRUE,"1=Casi todos los dias;2=Al menos una vez a la semana;3=Al menos una vez al mes;4=Solo hubo un apagon;5=No hubo apagones",NA,"Casi todos los dias","Al menos una vez a la semana","Al menos una vez al mes","Solo hubo un apagon","No hubo apagones","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ordinal",NA
"59","Q37","Durante este año Interpuso algun reporte relacionado al servicio energía eléctrica ante la autoridad correspondiente?","Escala 0-3",TRUE,"1=SI;2=NO;3=no sabe",NA,"SI","NO","no sabe","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"60","Q38","El problema fue atendido por la dependencia?","Escala 0-2",TRUE,"1=SI;2=NO;5= ",NA,"SI","NO","",""," ","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"61","Q39","En una escala del 1 al 10, Que tan satisfecho esta con la solución del problema del energia electrica?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"62","Q40","En una escala del 1 al 10, Que tan satisfecho esta con el SERVICIO DE RECOLECCION DE BASURA?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"63","Q41","Cuantos días a la semana tiene servicio de recolección de basura? (opciones de 0 a 3)","Escala 1-5",TRUE,"1=1 DIA;2=2 DIAS;3=3 DIAS;4=Es irregular;5=No sabe","","1 DIA","2 DIAS","3 DIAS","Es irregular","No sabe","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon",NA
"64","Q42","Durante este año Interpuso algun reporte relacionado al servicio recoleccion de basura ante la autoridad correspondiente?","Escala 0-3",TRUE,"1=SI;2=NO;3=no sabe;5= ","","SI","NO","no sabe",""," ","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"65","Q43","El problema fue atendido por la dependencia?","Escala 0-2",TRUE,"1=SI;2=NO","","SI","NO","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"66","Q44","En una escala del 1 al 10, que tan satisfecho esta con la solución del problema de recoleccion de basura?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"67","Q45","En una escala del 1 al 10, .Quw tan satisfecho se siente con la calidad del servicio de alumbrado público en la CIUDAD?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"68","Q46","En una escala del 1 al 10, que tan satisfecho está con el SERVICIO DE ALUMBRADO PUBLICO DE SU COLONIA?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"69","Q47","En una escala del 1 al 10, Que tan satisfecho se siente con la iluminacion adecuada de vialidades y áreas públicas en la ciudad?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"70","Q48","Durante este año Interpuso algún reporte relacionado al servicio de alumbrado publico ante la autoridad correspondiente?","Escala 0-3",TRUE,"1=SI;2=NO;3=no sabe","","SI","NO","no sabe","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"71","Q49","El problema fue atendido por la dependencia?","Escala 0-2",TRUE,"1=SI;2=NO","","SI","NO","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"72","Q50","En una escala del 1 al 10, Que tan satisfecho esta con la solución del problema de alumbrado publico?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"73","Q51","En una escala del 1 al 10, Que tan satisfecho se siente con la calidad de las calles y la pavimentación?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"74","Q52","Durante este año Interpuso algún reporte relacionado a baches, calles o pavimentacion ante la autoridad correspondiente?","Escala 0-3",TRUE,"1=SI;2=NO;3=no sabe","","SI","NO","no sabe","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"75","Q53","El problema fue atendido por la dependencia?","Escala 0-2",TRUE,"1=SI;2=NO","","SI","NO","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"76","Q54","En una escala del 1 al 10, Que tan satisfecho esta con la solución del problema de calles y pavimentacion?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"77","Q55","En una escala del 1 al 10, Que tan satisfecho esta con LA SEMAFORIZACION y senales viales?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"78","Q56","En una escala del 1 al 10, que tan satisfecho está con LA DISPONIBILIDAD DE ÁREAS VERDES Y ESPACIOS PÚBLICOS CERCA DE SU CASA?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"79","Q57.1","Equipamiento","Escala 1-10",TRUE,"-99= ;1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"80","Q57.2","Iluminacion","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
