variable,label,type,has_value_labels,value_labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Q9.2,Oscar Daniel Avitia Arellanes (Distrito 03),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9.3,Rosana Díaz Reyes (Distrito 04),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9.4,Marisela Terrazas Muñoz (Distrito 05),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9.5,Jael Argüelles Díaz (Distrito 06),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9.6,Gustavo de la Rosa Hickerson (Distrito 07),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9.7,Edin Cuauhtémoc Estrada Sotelo (Distrito 08),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9.8,Magdalena Rentería Pérez (Distrito 09),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9.9,María Antonieta Pérez Reyes (Distrito 10),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q10,¿Puede decirme el nombre del (la) diputado(a) federal de su distrito? NO AYUDAR CON NOMBRES,haven_labelled,TRUE,1 = Sí conoce diputado(a) federal; 2 = No conoce diputado(a) federal,NA,Sí conoce diputado(a) federal,No conoce diputado(a) federal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q11.1,Daniel Murguía Lardizabal (Distrito 01),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q11.2,Teresita de Jesus Vargas Meráz (Distrito 02),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q11.3,Lilia Aguilar Gil (Distrito 03),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q11.4,Daniela Soraya Álvarez Hernández(Distrito 04),haven_labelled,TRUE,0 = Not Selected; 1 = Selected,Not Selected,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q12,"Que tanto cree que los REGIDORES representan los intereses de los ciudadanos? Califique del 1 al 10, donde 1 es que no representan para nada los intereses y 10 es que representan totalmente los intereses ciudadanos. (NOTA: Un regidor tiene por función",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q13,"¿Qué tanto cree que EL/LA SÍNDICO(A) represente los intereses de los ciudadanos? Califique del 1 al 10, donde 1 es que no representan para nada los intereses y 10 es que representan totalmente los intereses ciudadanos. (NOTA: El síndico tiene por f",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q14,"¿Qué tanto cree que EL/LA DIPUTADO(A) LOCAL represente los intereses de los ciudadanos? Califique del 1 al 10, donde 1 es que no representan para nada los intereses y 10 es que representan totalmente los intereses ciudadanos. (NOTA: Un diputado local",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15,"¿Qué tanto cree que EL/LA DIPUTADO(A) FEDERAL represente los intereses de los ciudadanos? Califique del 1 al 10, donde 1 es que no representan para nada los intereses y 10 es que representan totalmente los intereses ciudadanos. (Nota: Un diputado fed",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q16.1,Llevo a cabo actos de corrupcion,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q16.2,Tomo en cuenta a los ciudadanos,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q16.3,Cumplio con sus compromisos y promesas,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q16.4,Aplico imparcialmente las leyes,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q16.5,Rindio cuentas a la ciudadania,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q17.1,Llevo a cabo actos de corrupcion,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q17.2,Tomo en cuenta a los ciudadanos,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q17.3,Cumplio con sus compromisos y promesas,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q17.4,Aplico imparcialmente las leyes,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q17.5,Rindio cuentas a la ciudadania,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q18.1,Llevo a cabo actos de corrupcion,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q18.2,Tomo en cuenta a los ciudadanos,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q18.3,Cumplio con sus compromisos y promesas,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q18.4,Aplico imparcialmente las leyes,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q18.5,Rindio cuentas a la ciudadania,haven_labelled,TRUE,1 = Nunca; 2 = Poco; 3 = Algo; 4 = Mucho; 5 = NS/NC,NA,Nunca,Poco,Algo,Mucho,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q19,"Como calificaria la expectativa que tiene en este momento del gobierno Municipal de Cruz Perez Cuellar, donde 1 es pesimo y 10 es excelente.",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q20,"Como calificaria la expectativa que tiene en este momento del gobierno Estatal de Maru Campos Galvan, donde 1 es pesimo y 10 es excelente.",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q21,"Como calificaria la expectativa que tiene en este momento del gobierno de la Republica de Andres Manuel Lopez Obrador, donde 1 es pesimo y 10 es excelente.",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.1,Diputados,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.2,Prensa local (periódicos),haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.3,Televisoras locales,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.4,Iglesias,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.5,Maestros,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.6,Partidos políticos,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.7,Organizaciones ciudadanas (OSC's),haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.8,Universidades,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.9,Empresarios,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
